Gene ID	Control-1(raw)	Control-2(raw)	Control-3(raw)	Treat-1(raw)	Treat-2(raw)	Treat-3(raw)	Control-1	Control-2	Control-3	Treat-1	Treat-2	Treat-3	Gene Symbol
102635809	0	0	0	0	0	0	0	0	0	0	0	0	Gm33055
56298	607.67523	506.53482	770.0943	598.86	643.9302	740.4883	-0.1089921	-0.08867121	0.16247988	-0.060076237	0.060076237	0.12509918	Atl2
105246324	0	0	0	0	0	0	0	0	0	0	0	0	Gm41625
625074	0	0	0	0	0	0	0	0	0	0	0	0	Gm6552
72692	1457.8433	1181.5939	1582.9346	1546.1982	1468.194	1724.7517	-0.072087765	-0.09222889	-0.023584366	0.082799435	0.023583889	0.11938	Hnrnpll
110531	0	0	0	0	0	0	0	0	0	0	0	0	Gpx4-ps
102635879	0	0	0	0	0	0	0	0	0	0	0	0	LOC102635879
105246325	0	0	0	0	0	0	0	0	0	0	0	0	Gm41626
319625	25.589796	18	14	17.227272	20.322672	6.364865	0.3739454	0.14933363	-0.4026753	-0.12693158	0.12693158	-0.4026753	Galm
225027	1896.4805	1412.7988	1963.9083	965.2253	1093.1648	1372.6951	0.3296032	0.18779469	0.30974388	-0.5747862	-0.37974596	-0.18779516	Srsf7
67737	0	0.97333336	0	0	0	1	0	0	0	0	0	0	Ttc39d
67242	32.777454	28.076921	21.92358	35.38585	13.382883	36.62232	-0.029820442	0.02982068	-0.68030334	0.15064573	-1.2366706	0.07911396	Gemin6
106794	787.95624	720.40515	880.2172	718.3111	695.5973	734.703	0.031754494	0.18540764	0.12123585	-0.031754494	-0.062644005	-0.12028456	Dhx57
378462	16.810713	19.679369	28.788965	16.682634	11.379708	23.853333	-0.25634432	0.2539189	0.44952798	-0.19738054	-0.73379683	0.19738054	Morn2
381112	5	3	0.76196074	6.9026136	6.4311843	9.32391	0	0	0	0	0	0	Arhgef33
791338	3	6.3986487	12.5	2	8	4.5	-0.064998046	0.064998046	0.6778643	-0.064998046	0.18973549	-0.064998046	Gm10190
20662	937.3913	903.46875	967.9982	1082.1637	834.38635	977.0044	-0.004314423	0.22546864	-0.028224468	0.27287817	-0.08678579	0.004313946	Sos1
100416519	0	0	0	0	0	0	0	0	0	0	0	0	Gm18141
100417500	0	0	0	0	0	0	0	0	0	0	0	0	Gm18650
381113	8.97991	6.66	13.886665	5	9.057619	10.454751	0	0	0.0968459	0	0	0	Cdkl4
102636256	10	7	13.473333	7.9009013	10	24	-0.042732343	-0.20278917	0.3171118	-0.20278917	0.042732343	1.169217	Gm33373
619329	0	0	0	0	0	0	0	0	0	0	0	0	F420015M19Rik
225028	4273.9263	3555.8267	4854.5615	2967.3494	2670.8086	2828.7722	0.22819471	0.24577808	0.34171104	-0.22819471	-0.36462593	-0.4182763	Map4k3
100043697	0	0	0	0	0	0	0	0	0	0	0	0	Gm9959
102636483	0	0	0	0	0	0	0	0	0	0	0	0	Gm33538
102636565	0	0	0	0	0	0	0	0	0	0	0	0	Gm33596
320784	160.6679	148.7483	212.66177	162	179.78668	151.99998	-0.12683058	0.04492092	0.20738554	-0.04492092	0.12083864	-0.257926	C230072F16Rik
108168317	0	0	0	0	0	0	0	0	0	0	0	0	LOC108168317
68027	95.72404	63.261906	103	79.65697	73.097046	77.29932	0.24934316	-0.06524086	0.28477168	0.054260015	-0.054260254	-0.1101675	Tmem178
72167	120.527855	69.78267	122.33652	165.90141	148.47714	151.50839	-0.13947296	-0.64493895	-0.1882472	0.39148426	0.24686575	0.13947296	Thumpd2
20541	843.2573	668.7573	840.2647	477.06055	540.66205	447.98453	0.31558633	0.2640562	0.24019456	-0.43621683	-0.2401948	-0.6480229	Slc8a1
102637033	0	0	0	0	0	0	0	0	0	0	0	0	Gm33944
102637196	0	0	0	0	0	0	0	0	0	0	0	0	Gm34070
105246326	0	0	0	0	0	0	0	0	0	0	0	0	Gm41627
102637271	0	0	0	0	0	0	0	0	0	0	0	0	Gm34131
668832	0	0	0	0	0	0	0	0	0	0	0	0	Rpl31-ps25
100043707	0	0	0	0	0	0	0	0	0	0	0	0	Gm4599
668836	0	0	0	0	0	0	0	0	0	0	0	0	Gm9390
433141	0	0	0	0	0	0	0	0	0	0	0	0	Rpsa-ps7
625514	0	0	0	0	0	0	0	0	0	0	0	0	Gm6594
102637384	0	0	0	0	0	0	0	0	0	0	0	0	Gm34211
102637462	0	0	0	0	0	0	0	0	0	0	0	0	Gm34265
105246328	0	0	0	0	0	0	0	0	0	0	0	0	Gm41629
100043711	0	0	0	0	0	0	0	0	0	0	0	0	Gm4601
100503434	0	0	0	0	0	1	0	0	0	0	0	0	Gm19689
108168356	0	0	0	0	0	0	0	0	0	0	0	0	Gm46606
105246330	0	0	0	0	0	0	0	0	0	0	0	0	Gm41631
108168353	0	0	0	0	0	0	0	0	0	0	0	0	LOC108168353
106522	145.8205	125.00001	147.27267	135.74911	98.814606	152.06625	0.016626596	0.07732129	-0.03933978	-0.016626596	-0.459306	0.026048183	Pkdcc
545226	0	0	0	0	0	0	0	0	0	0	0	0	Rpl21-ps7
78798	914.28937	775.923	1008.3277	666.55286	577.18695	632.6405	0.19296694	0.23918962	0.26394606	-0.19296694	-0.38518047	-0.38938284	Eml4
108168338	0	0	0	0	0	0	0	0	0	0	0	0	Gm46594
20463	709.1945	501.66034	659.69586	557.16644	550.04	696.09937	0.19557667	-0.020933628	0.020933628	-0.08249903	-0.085603714	0.1176033	Cox7a2l
105246334	0	0	0	0	0	0	0	0	0	0	0	0	Gm41635
102638174	0	0	0	0	0	0	0	0	0	0	0	0	Gm34801
225030	3	2	5.3333335	9	4.4870567	8.75	0	0	0	0	0	0	Kcng3
108168343	0	0	0	0	0	0	0	0	0	0	0	0	Gm46598
116871	426.9508	264.3607	402.7748	417.7819	410.94092	552.57715	-0.015162945	-0.4237647	-0.16952181	0.023514748	0.015162945	0.30585814	Mta3
108168342	0	0	0	0	0	0	0	0	0	0	0	0	Gm46597
105246336	0	0	0	0	0	0	0	0	0	0	0	0	Gm41637
107766	5.8821454	1.3741497	5.7061715	6.6038265	13.852974	13.116122	0	0	0	0	0.3436558	0.12825161	Haao
100463513	0	0	0	0	0	0	0	0	0	0	0	0	Gm19260
320021	30	44	67.5	46.5	35	64.08252	-0.76888347	0.06661773	0.33077884	-0.06661773	-0.46102643	0.27499962	C430042M11Rik
102467328	0.6066667	4.930905	0.3197279	5.9348254	0.034013607	0	0.3142374	3.6200738	-0.3142374	3.6744645	-0.3142374	-0.3142374	n-TIaat17
102638598	0	0	0	0	0	0	0	0	0	0	0	0	Gm35125
72285	0	0	0	0	0	0	0	0	0	0	0	0	1810073O08Rik
105246338	0	0	0	0	0	0	0	0	0	0	0	0	Gm41639
105246337	0	0	0	0	0	0	0	0	0	0	0	0	Gm41638
102638737	0	0	0	0	0	0	0	0	0	0	0	0	Gm35229
102639049	0	0	0	0	0	0	0	0	0	0	0	0	Gm35457
78148	0	0	0	1	0	0	0	0	0	0	0	0	8430430B14Rik
102639180	0	0	0	0	0	0	0	0	0	0	0	0	Gm35551
74473	2.887928	1	2.6533332	1	7	0	0	0	0	0	0	0	4933433H22Rik
100503447	1.5	1	2.5	0.12328767	1	2	0	0	0	0	0	0	Gm19696
105246339	1.2882993	7.2326083	6	18.444942	32.844597	20.293333	-0.068124	-0.068124	-0.068124	0.068124	0.916022	0.08482211	Gm41640
12193	3561.2659	3058.9119	2767.0283	3437.089	2745.1895	2627.6504	0.14501	0.20859861	-0.2893057	0.16380453	-0.14501	-0.34469175	Zfp36l2
102640142	0	0	0	0	0	0	0	0	0	0	0	0	Gm36279
240174	716.44403	619.4527	890.5415	755.44434	605.4133	679.4649	-0.036550045	0.036550045	0.20701599	0.10991907	-0.19401908	-0.16409016	Thada
105246341	0	0	0	0	0	0	0	0	0	0	0	0	Gm41642
213556	257.85483	154.49266	222.82701	276.99005	234.59406	325.18158	0.025464058	-0.43059683	-0.2554338	0.19873643	-0.025464058	0.30906534	Plekhh2
74972	0	0	0	0	0	0	0	0	0	0	0	0	4930500A05Rik
213575	33.885376	23.108847	38.663467	38.545364	36.706097	25.598642	-0.06002283	-0.32928014	0.06002283	0.19586945	0.1407988	-0.5157032	Dync2li1
27409	1	1	0	0	0.8027928	0	0	0	0	0	0	0	Abcg5
67470	0	4	4	0	1.9200001	2.9419048	0	0	0	0	0	0	Abcg8
72416	524.9031	498.53613	649.18195	464.95078	416.1969	452.66376	0.05248785	0.26109505	0.2887969	-0.05248785	-0.19683218	-0.21220827	Lrpprc
108168325	0	0	0	0	0	0	0	0	0	0	0	0	Gm46582
668848	0	0	0	0	0	0	0	0	0	0	0	0	Gm9400
68531	5.055118	2	4	2	0	6.16	0	0	0	0	0	0.20783742	1110020A21Rik
